Ma,P/P_0,T/T_0,A/A*
0.00,1.0000,1.0000,NaN
0.01,0.9999,1.0000,57.8738
0.02,0.9997,0.9999,28.9421
0.03,0.9994,0.9998,19.3005
0.04,0.9989,0.9997,14.4815
0.05,0.9983,0.9995,11.5914
0.06,0.9975,0.9993,9.6659
0.07,0.9966,0.9990,8.2915
0.08,0.9955,0.9987,7.2616
0.09,0.9944,0.9984,6.4613
0.10,0.9930,0.9980,5.8218
0.11,0.9916,0.9976,5.2992
0.12,0.9900,0.9971,4.8643
0.13,0.9883,0.9966,4.4969
0.14,0.9864,0.9961,4.1824
0.15,0.9844,0.9955,3.9103
0.16,0.9823,0.9949,3.6727
0.17,0.9800,0.9943,3.4635
0.18,0.9776,0.9936,3.2779
0.19,0.9751,0.9928,3.1123
0.20,0.9725,0.9921,2.9635
0.21,0.9697,0.9913,2.8293
0.22,0.9668,0.9904,2.7076
0.23,0.9638,0.9895,2.5968
0.24,0.9607,0.9886,2.4956
0.25,0.9575,0.9877,2.4027
0.26,0.9541,0.9867,2.3173
0.27,0.9506,0.9856,2.2385
0.28,0.9470,0.9846,2.1656
0.29,0.9433,0.9835,2.0979
0.30,0.9395,0.9823,2.0351
0.31,0.9355,0.9811,1.9765
0.32,0.9315,0.9799,1.9219
0.33,0.9274,0.9787,1.8707
0.34,0.9231,0.9774,1.8229
0.35,0.9188,0.9761,1.7780
0.36,0.9143,0.9747,1.7358
0.37,0.9098,0.9733,1.6961
0.38,0.9052,0.9719,1.6587
0.39,0.9004,0.9705,1.6234
0.40,0.8956,0.9690,1.5901
0.41,0.8907,0.9675,1.5587
0.42,0.8857,0.9659,1.5289
0.43,0.8807,0.9643,1.5007
0.44,0.8755,0.9627,1.4740
0.45,0.8703,0.9611,1.4487
0.46,0.8650,0.9594,1.4246
0.47,0.8596,0.9577,1.4018
0.48,0.8541,0.9559,1.3801
0.49,0.8486,0.9542,1.3595
0.50,0.8430,0.9524,1.3398
0.51,0.8374,0.9506,1.3212
0.52,0.8317,0.9487,1.3034
0.53,0.8259,0.9468,1.2865
0.54,0.8201,0.9449,1.2703
0.55,0.8142,0.9430,1.2549
0.56,0.8082,0.9410,1.2403
0.57,0.8022,0.9390,1.2263
0.58,0.7962,0.9370,1.2130
0.59,0.7901,0.9349,1.2003
0.60,0.7840,0.9328,1.1882
0.61,0.7778,0.9307,1.1767
0.62,0.7716,0.9286,1.1656
0.63,0.7654,0.9265,1.1552
0.64,0.7591,0.9243,1.1451
0.65,0.7528,0.9221,1.1356
0.66,0.7465,0.9199,1.1265
0.67,0.7401,0.9176,1.1179
0.68,0.7338,0.9153,1.1097
0.69,0.7274,0.9131,1.1018
0.70,0.7209,0.9107,1.0944
0.71,0.7145,0.9084,1.0873
0.72,0.7080,0.9061,1.0806
0.73,0.7016,0.9037,1.0742
0.74,0.6951,0.9013,1.0681
0.75,0.6886,0.8989,1.0624
0.76,0.6821,0.8964,1.0570
0.77,0.6756,0.8940,1.0519
0.78,0.6691,0.8915,1.0471
0.79,0.6625,0.8890,1.0425
0.80,0.6560,0.8865,1.0382
0.81,0.6495,0.8840,1.0342
0.82,0.6430,0.8815,1.0305
0.83,0.6365,0.8789,1.0270
0.84,0.6300,0.8763,1.0237
0.85,0.6235,0.8737,1.0207
0.86,0.6170,0.8711,1.0179
0.87,0.6106,0.8685,1.0153
0.88,0.6041,0.8659,1.0129
0.89,0.5977,0.8632,1.0108
0.90,0.5913,0.8606,1.0089
0.91,0.5849,0.8579,1.0071
0.92,0.5785,0.8552,1.0056
0.93,0.5721,0.8525,1.0043
0.94,0.5658,0.8498,1.0031
0.95,0.5595,0.8471,1.0021
0.96,0.5532,0.8444,1.0014
0.97,0.5469,0.8416,1.0008
0.98,0.5407,0.8389,1.0003
0.99,0.5345,0.8361,1.0001
1.00,0.5283,0.8333,1.0000
1.01,0.5221,0.8306,1.0001
1.02,0.5160,0.8278,1.0003
1.03,0.5099,0.8250,1.0007
1.04,0.5039,0.8222,1.0013
1.05,0.4979,0.8193,1.0020
1.06,0.4919,0.8165,1.0029
1.07,0.4860,0.8137,1.0039
1.08,0.4800,0.8108,1.0051
1.09,0.4742,0.8080,1.0064
1.10,0.4684,0.8052,1.0079
1.11,0.4626,0.8023,1.0095
1.12,0.4568,0.7994,1.0113
1.13,0.4511,0.7966,1.0132
1.14,0.4455,0.7937,1.0153
1.15,0.4398,0.7908,1.0175
1.16,0.4343,0.7879,1.0198
1.17,0.4287,0.7851,1.0222
1.18,0.4232,0.7822,1.0248
1.19,0.4178,0.7793,1.0276
1.20,0.4124,0.7764,1.0304
1.21,0.4070,0.7735,1.0334
1.22,0.4017,0.7706,1.0366
1.23,0.3964,0.7677,1.0398
1.24,0.3912,0.7648,1.0432
1.25,0.3861,0.7619,1.0468
1.26,0.3809,0.7590,1.0504
1.27,0.3759,0.7561,1.0542
1.28,0.3708,0.7532,1.0581
1.29,0.3658,0.7503,1.0621
1.30,0.3609,0.7474,1.0663
1.31,0.3560,0.7445,1.0706
1.32,0.3512,0.7416,1.0750
1.33,0.3464,0.7387,1.0796
1.34,0.3417,0.7358,1.0842
1.35,0.3370,0.7329,1.0890
1.36,0.3323,0.7300,1.0940
1.37,0.3277,0.7271,1.0990
1.38,0.3232,0.7242,1.1042
1.39,0.3187,0.7213,1.1095
1.40,0.3142,0.7184,1.1149
1.41,0.3098,0.7155,1.1205
1.42,0.3055,0.7126,1.1262
1.43,0.3012,0.7097,1.1320
1.44,0.2969,0.7069,1.1379
1.45,0.2927,0.7040,1.1440
1.46,0.2886,0.7011,1.1501
1.47,0.2845,0.6982,1.1565
1.48,0.2804,0.6954,1.1629
1.49,0.2764,0.6925,1.1695
1.50,0.2724,0.6897,1.1762
1.51,0.2685,0.6868,1.1830
1.52,0.2646,0.6840,1.1899
1.53,0.2608,0.6811,1.1970
1.54,0.2570,0.6783,1.2042
1.55,0.2533,0.6754,1.2116
1.56,0.2496,0.6726,1.2190
1.57,0.2459,0.6698,1.2266
1.58,0.2423,0.6670,1.2344
1.59,0.2388,0.6642,1.2422
1.60,0.2353,0.6614,1.2502
1.61,0.2318,0.6586,1.2584
1.62,0.2284,0.6558,1.2666
1.63,0.2250,0.6530,1.2750
1.64,0.2217,0.6502,1.2836
1.65,0.2184,0.6475,1.2922
1.66,0.2151,0.6447,1.3010
1.67,0.2119,0.6419,1.3100
1.68,0.2088,0.6392,1.3190
1.69,0.2057,0.6364,1.3283
1.70,0.2026,0.6337,1.3376
1.71,0.1996,0.6310,1.3471
1.72,0.1966,0.6283,1.3567
1.73,0.1936,0.6256,1.3665
1.74,0.1907,0.6229,1.3764
1.75,0.1878,0.6202,1.3865
1.76,0.1850,0.6175,1.3967
1.77,0.1822,0.6148,1.4070
1.78,0.1794,0.6121,1.4175
1.79,0.1767,0.6095,1.4282
1.80,0.1740,0.6068,1.4390
1.81,0.1714,0.6041,1.4499
1.82,0.1688,0.6015,1.4610
1.83,0.1662,0.5989,1.4723
1.84,0.1637,0.5963,1.4836
1.85,0.1612,0.5936,1.4952
1.86,0.1587,0.5910,1.5069
1.87,0.1563,0.5884,1.5187
1.88,0.1539,0.5859,1.5308
1.89,0.1516,0.5833,1.5429
1.90,0.1492,0.5807,1.5553
1.91,0.1470,0.5782,1.5677
1.92,0.1447,0.5756,1.5804
1.93,0.1425,0.5731,1.5932
1.94,0.1403,0.5705,1.6062
1.95,0.1381,0.5680,1.6193
1.96,0.1360,0.5655,1.6326
1.97,0.1339,0.5630,1.6461
1.98,0.1318,0.5605,1.6597
1.99,0.1298,0.5580,1.6735
2.00,0.1278,0.5556,1.6875
2.01,0.1258,0.5531,1.7016
2.02,0.1239,0.5506,1.7160
2.03,0.1220,0.5482,1.7305
2.04,0.1201,0.5458,1.7451
2.05,0.1182,0.5433,1.7600
2.06,0.1164,0.5409,1.7750
2.07,0.1146,0.5385,1.7902
2.08,0.1128,0.5361,1.8056
2.09,0.1111,0.5337,1.8212
2.10,0.1094,0.5313,1.8369
2.11,0.1077,0.5290,1.8529
2.12,0.1060,0.5266,1.8690
2.13,0.1043,0.5243,1.8853
2.14,0.1027,0.5219,1.9018
2.15,0.1011e+0,0.5196,1.9185
2.16,0.9956e-1,0.5173,1.9354
2.17,0.9802e-1,0.5150,1.9525
2.18,0.9649e-1,0.5127,1.9698
2.19,0.9500e-1,0.5104,1.9873
2.20,0.9352e-1,0.5081,2.0050
2.21,0.9207e-1,0.5059,2.0229
2.22,0.9064e-1,0.5036,2.0409
2.23,0.8923e-1,0.5014,2.0592
2.24,0.8785e-1,0.4991,2.0777
2.25,0.8648e-1,0.4969,2.0964
2.26,0.8514e-1,0.4947,2.1153
2.27,0.8382e-1,0.4925,2.1345
2.28,0.8251e-1,0.4903,2.1538
2.29,0.8123e-1,0.4881,2.1734
2.30,0.7997e-1,0.4859,2.1931
2.31,0.7873e-1,0.4837,2.2131
2.32,0.7751e-1,0.4816,2.2333
2.33,0.7631e-1,0.4794,2.2538
2.34,0.7512e-1,0.4773,2.2744
2.35,0.7396e-1,0.4752,2.2953
2.36,0.7281e-1,0.4731,2.3164
2.37,0.7168e-1,0.4709,2.3377
2.38,0.7057e-1,0.4688,2.3593
2.39,0.6948e-1,0.4668,2.3811
2.40,0.6840e-1,0.4647,2.4031
2.41,0.6734e-1,0.4626,2.4254
2.42,0.6630e-1,0.4606,2.4479
2.43,0.6527e-1,0.4585,2.4706
2.44,0.6426e-1,0.4565,2.4936
2.45,0.6327e-1,0.4544,2.5168
2.46,0.6229e-1,0.4524,2.5403
2.47,0.6133e-1,0.4504,2.5640
2.48,0.6038e-1,0.4484,2.5880
2.49,0.5945e-1,0.4464,2.6122
2.50,0.5853e-1,0.4444,2.6367
2.51,0.5762e-1,0.4425,2.6615
2.52,0.5674e-1,0.4405,2.6865
2.53,0.5586e-1,0.4386,2.7117
2.54,0.5500e-1,0.4366,2.7372
2.55,0.5415e-1,0.4347,2.7630
2.56,0.5332e-1,0.4328,2.7891
2.57,0.5250e-1,0.4309,2.8154
2.58,0.5169e-1,0.4289,2.8420
2.59,0.5090e-1,0.4271,2.8688
2.60,0.5012e-1,0.4252,2.8960
2.61,0.4935e-1,0.4233,2.9234
2.62,0.4859e-1,0.4214,2.9511
2.63,0.4784e-1,0.4196,2.9791
2.64,0.4711e-1,0.4177,3.0073
2.65,0.4639e-1,0.4159,3.0359
2.66,0.4568e-1,0.4141,3.0647
2.67,0.4498e-1,0.4122,3.0938
2.68,0.4429e-1,0.4104,3.1233
2.69,0.4362e-1,0.4086,3.1530
2.70,0.4295e-1,0.4068,3.1830
2.71,0.4229e-1,0.4051,3.2133
2.72,0.4165e-1,0.4033,3.2440
2.73,0.4102e-1,0.4015,3.2749
2.74,0.4039e-1,0.3998,3.3061
2.75,0.3978e-1,0.3980,3.3377
2.76,0.3917e-1,0.3963,3.3695
2.77,0.3858e-1,0.3945,3.4017
2.78,0.3799e-1,0.3928,3.4342
2.79,0.3742e-1,0.3911,3.4670
2.80,0.3685e-1,0.3894,3.5001
2.81,0.3629e-1,0.3877,3.5336
2.82,0.3574e-1,0.3860,3.5674
2.83,0.3520e-1,0.3844,3.6015
2.84,0.3467e-1,0.3827,3.6359
2.85,0.3415e-1,0.3810,3.6707
2.86,0.3363e-1,0.3794,3.7058
2.87,0.3312e-1,0.3777,3.7413
2.88,0.3263e-1,0.3761,3.7771
2.89,0.3213e-1,0.3745,3.8133
2.90,0.3165e-1,0.3729,3.8498
2.91,0.3118e-1,0.3712,3.8866
2.92,0.3071e-1,0.3696,3.9238
2.93,0.3025e-1,0.3681,3.9614
2.94,0.2980e-1,0.3665,3.9993
2.95,0.2935e-1,0.3649,4.0376
2.96,0.2891e-1,0.3633,4.0763
2.97,0.2848e-1,0.3618,4.1153
2.98,0.2805e-1,0.3602,4.1547
2.99,0.2764e-1,0.3587,4.1944
3.00,0.2722e-1,0.3571,4.2346
3.01,0.2682e-1,0.3556,4.2751
3.02,0.2642e-1,0.3541,4.3160
3.03,0.2603e-1,0.3526,4.3573
3.04,0.2564e-1,0.3511,4.3989
3.05,0.2526e-1,0.3496,4.4410
3.06,0.2489e-1,0.3481,4.4835
3.07,0.2452e-1,0.3466,4.5263
3.08,0.2416e-1,0.3452,4.5696
3.09,0.2380e-1,0.3437,4.6132
3.10,0.2345e-1,0.3422,4.6573
3.11,0.2310e-1,0.3408,4.7018
3.12,0.2276e-1,0.3393,4.7467
3.13,0.2243e-1,0.3379,4.7920
3.14,0.2210e-1,0.3365,4.8377
3.15,0.2177e-1,0.3351,4.8838
3.16,0.2146e-1,0.3337,4.9304
3.17,0.2114e-1,0.3323,4.9774
3.18,0.2083e-1,0.3309,5.0248
3.19,0.2053e-1,0.3295,5.0727
3.20,0.2023e-1,0.3281,5.1210
3.21,0.1993e-1,0.3267,5.1697
3.22,0.1964e-1,0.3253,5.2189
3.23,0.1936e-1,0.3240,5.2685
3.24,0.1908e-1,0.3226,5.3186
3.25,0.1880e-1,0.3213,5.3691
3.26,0.1853e-1,0.3199,5.4201
3.27,0.1826e-1,0.3186,5.4715
3.28,0.1799e-1,0.3173,5.5234
3.29,0.1773e-1,0.3160,5.5758
3.30,0.1748e-1,0.3147,5.6286
3.31,0.1722e-1,0.3134,5.6820
3.32,0.1698e-1,0.3121,5.7358
3.33,0.1673e-1,0.3108,5.7900
3.34,0.1649e-1,0.3095,5.8448
3.35,0.1625e-1,0.3082,5.9000
3.36,0.1602e-1,0.3069,5.9558
3.37,0.1579e-1,0.3057,6.0120
3.38,0.1557e-1,0.3044,6.0687
3.39,0.1534e-1,0.3032,6.1260
3.40,0.1512e-1,0.3019,6.1837
3.41,0.1491e-1,0.3007,6.2419
3.42,0.1470e-1,0.2995,6.3007
3.43,0.1449e-1,0.2982,6.3600
3.44,0.1428e-1,0.2970,6.4198
3.45,0.1408e-1,0.2958,6.4801
3.46,0.1388e-1,0.2946,6.5409
3.47,0.1368e-1,0.2934,6.6023
